id_rater	36	39	43	45	47	242	325	331	351	390	415	416	442	532	569	582	607	610	623	625	649	654	665	682	693	700	704
210	Nay	Nay	Yea	Nay	Nay	Yea	Yea	Yea	Nay	Yea	Yea	Nay	Yea	Yea	Yea	Nay	Yea	Yea	Yea	Yea	 	Yea	Yea	Yea	Yea	Yea	Yea
211	Nay	Nay	Yea	Nay	Nay	Yea	Yea	Yea	Nay	Yea	Nay	Nay	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Yea	 	Yea	Yea	Yea	Yea	Yea	Yea
212	Nay	Nay	Yea	Nay	Nay	Yea	Nay	Nay	Yea	Yea	Yea	Nay	Nay	Nay	Nay	Nay	 	Nay	Yea	Nay	Nay	Nay	Nay	Yea	Yea	Nay	Nay
219	Nay	Nay	Yea	Nay	Nay	Yea	Yea	Nay	Nay	Yea	Yea	Nay	Yea	Nay	Nay	Yea	Nay	Nay	Yea	Yea	Yea	Nay	Nay	Yea	Nay	Nay	Nay
220	Nay	Nay	Yea	Nay	Nay	Yea	Yea	Yea	Nay	Yea	Nay	Nay	Yea	Yea	 	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Yea
223	Nay	Nay	Yea	Nay	Nay	Yea	Yea	Yea	Nay	Yea	Yea	Nay	Nay	Nay	Nay	Nay	 	Nay	Yea	Yea	 	Yea	Yea	 	Nay	Nay	Yea
224	Nay	Nay	Yea	Nay	Nay	Yea	 	Yea	Nay	Yea	Nay	Nay	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Yea
225	Nay	Nay	Yea	Nay	Nay	Yea	Yea	Yea	 	Yea	Yea	Nay	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Yea
226	Nay	Nay	Yea	Nay	Nay	Yea	Yea	Yea	Nay	Yea	Nay	Nay	Yea	Nay	Yea	Yea	Nay	Yea	Yea	Yea	Yea	Yea	Yea	 	Yea	Yea	Yea
227	Nay	Nay	Yea	Nay	Nay	Yea	 	Nay	Nay	Yea	Yea	Nay	Nay	Nay	 	Nay	Nay	Nay	Yea	Nay	Nay	Nay	Nay	Yea	Nay	Nay	Nay
229	Nay	Nay	Yea	Nay	Nay	Yea	Yea	Yea	Nay	Yea	Yea	Nay	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Yea
230	Nay	Nay	Yea	Nay	Nay	Yea	Nay	Yea	Nay	Yea	Yea	Nay	Nay	Nay	 	Yea	Nay	Yea	Yea	Nay	 	Yea	Nay	Yea	Nay	Nay	Yea
231	Nay	Nay	Yea	Nay	Nay	Yea	Nay	Nay	Nay	Yea	Nay	Nay	Yea	Nay	Nay	Yea	Yea	Nay	Yea	Yea	Yea	Nay	Yea	Yea	Nay	Yea	Yea
234	Nay	Nay	Yea	Nay	Nay	Yea	Yea	Nay	Nay	Yea	Nay	Nay	Nay	Nay	Nay	Nay	Nay	Nay	Yea	Nay	Nay	Nay	Nay	Yea	Nay	Nay	Nay
237	Nay	Nay	Yea	Nay	Nay	Yea	Nay	Nay	Nay	Yea	Nay	Nay	Nay	Nay	Yea	Nay	Nay	Nay	Yea	Nay	Nay	Nay	Nay	Yea	Nay	Nay	Yea
239	Nay	Nay	Yea	Nay	Nay	Yea	Yea	Yea	Nay	Yea	Nay	Nay	Yea	Yea	Yea	Yea	Nay	Yea	Yea	Nay	Nay	Nay	Nay	Yea	Nay	Yea	Yea
243	Nay	Nay	Yea	Nay	Nay	Yea	Yea	Yea	Nay	Yea	Nay	Nay	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Yea	 	Yea	Yea	Yea	Yea	Yea	Yea
249	Nay	Yea	Yea	Nay	Nay	Yea	Nay	Nay	Nay	Yea	Nay	Nay	Nay	Nay	Nay	Nay	Nay	Nay	Yea	Nay	Nay	Nay	Nay	Yea	Nay	Nay	Nay
250	Nay	Nay	Yea	Nay	Nay	Yea	Yea	Yea	Nay	Yea	Yea	Nay	Yea	Yea	Yea	 	Yea	Yea	Yea	Yea	 	Yea	Yea	 	Yea	Yea	Yea
251	Nay	Nay	Yea	Nay	Nay	Yea	Yea	Yea	Nay	Yea	Nay	Nay	 	Yea	 	Yea	Yea	Yea	Yea	Yea	 	Yea	Yea	Yea	Yea	Yea	Yea
262	Nay	Nay	Yea	Nay	Nay	Yea	Yea	Nay	Nay	Yea	Nay	Nay	Nay	Nay	Nay	Nay	Nay	Nay	Yea	Nay	Nay	Nay	Nay	Yea	Nay	Nay	Nay
264	Nay	Nay	Yea	Nay	Nay	Nay	Nay	Nay	Nay	Yea	Nay	Nay	Nay	Nay	Nay	Nay	Nay	Nay	Yea	Nay	Nay	Nay	Nay	Yea	Nay	Nay	Nay
273	Nay	Nay	Yea	Nay	Nay	Yea	Yea	Yea	Nay	Yea	Nay	Nay	Yea	Yea	 	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Yea
274	Nay	Nay	Yea	Nay	Nay	Yea	Nay	Nay	Nay	Yea	Yea	Nay	Nay	Nay	Nay	Nay	Nay	Nay	Yea	Nay	Nay	Nay	Nay	Yea	Nay	Nay	Nay
283	Nay	Nay	Yea	Nay	Nay	Yea	Yea	Yea	Nay	Yea	Yea	Nay	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Yea
289	Nay	Nay	Yea	Nay	Nay	Yea	Nay	Nay	Nay	Yea	Nay	Nay	Nay	Nay	Nay	Nay	Nay	Nay	Yea	Nay	Nay	Nay	Nay	Yea	Nay	Nay	Nay
297	Nay	Nay	Yea	Nay	Nay	Yea	Nay	Nay	 	Yea	Nay	Nay	Nay	Nay	Nay	Nay	Nay	Nay	Yea	Nay	Nay	Nay	Nay	Yea	Nay	Nay	Nay
298	Nay	Nay	Yea	Nay	Nay	Yea	Nay	Yea	Nay	Yea	Nay	Nay	Yea	Nay	Yea	Yea	Nay	Yea	Yea	Nay	Yea	Yea	Yea	Yea	Yea	Yea	Yea
299	Nay	Nay	Yea	 	Nay	Yea	Yea	Yea	Nay	Yea	Yea	Nay	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Yea
301	Nay	Nay	Yea	Nay	Nay	Yea	Nay	Nay	Nay	Yea	Nay	Nay	Nay	Nay	Nay	Nay	 	Nay	Yea	Nay	Nay	Nay	Nay	Yea	Nay	Nay	Nay
302	Nay	Nay	Yea	Nay	Nay	Yea	Yea	Yea	Nay	Yea	Nay	Nay	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Yea
303	Nay	Nay	Yea	Nay	Nay	Yea	Yea	Yea	Nay	Yea	Nay	Nay	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Yea
