icpsr	congress	party_code	state_icpsr	state_abbrev	district_code	occupancy	bioname
212	102.0	Republican Party	81	AK	1	0	YOUNG, Donald Edwin
219	114.0	Republican Party	41	AL	6	0	PALMER, Gary James
220	110.0	Republican Party	43	FL	13	0	BUCHANAN, Vernon G.
223	102.0	Republican Party	71	CA	42	0	ROHRABACHER, Dana
224	105.0	Republican Party	49	TX	5	0	SESSIONS, Pete
225	108.0	Republican Party	67	UT	1	0	BISHOP, Robert (Rob)
226	108.0	Republican Party	49	TX	31	0	CARTER, John R.
227	108.0	Republican Party	49	TX	26	0	BURGESS, Michael C.
229	108.0	Republican Party	49	TX	5	0	HENSARLING, Jeb
230	108.0	Republican Party	54	TN	7	0	BLACKBURN, Marsha
