alpha	dataset_size	minimum_threshold_alpha	sample_size	confidence_interval_taylor	confidence_interval_empirical	confidence_interval_empirical_percentile	error	error_empirical	normal_distribution_pvalue	follows_normal
0.05	127162	1.1414080044713393	6358	[0.1307642781765549, 0.15395580029387834]	[0.13070973551120185, 0.15394671270691557]	(0.1312138823817579, 0.15430289209465664)	0.0027372483433512063	0.033846343236405896	0.1676470494437572	1
0.05	127162	1.1414080044713393	6485	[0.13088598099460202, 0.15383721919017646]	[0.1310299083786361, 0.1538899573927896]	(0.13143507892936668, 0.1541941533255482)	0.008549199635881632	0.0388718625069312	0.07101720752734647	1
0.05	127162	1.1414080044713393	6612	[0.1310042069805618, 0.1537219949978963]	[0.13107786573249888, 0.1535902550852272]	(0.1316683975016517, 0.15389459453477317)	0.00904131442944378	0.036556395385836216	0.27775971208109335	1
0.05	127162	1.1414080044713393	6739	[0.13111912078981403, 0.1536099698415615]	[0.13122149691227472, 0.1535163954352848]	(0.1316496640308199, 0.153897496179627)	0.008712455820878096	0.035914307542637025	0.056186475146868364	1
0.05	127162	1.1414080044713393	6866	[0.13123087635220942, 0.15350099606959589]	[0.131268867952902, 0.15339276180041467]	(0.13143547410048162, 0.1535295163324487)	0.006566011845891562	0.010454360056559864	0.2240361952338051	1
0.05	127162	1.1414080044713393	6993	[0.131339617754185, 0.15339493541775695]	[0.13139116065105969, 0.15338055850586926]	(0.131668010476364, 0.15363458858207613)	0.0029888396879106383	0.025478655741838496	0.2883792153417	1
0.05	127162	1.1414080044713393	7121	[0.13144630251239775, 0.15329085576554236]	[0.13152051985196647, 0.15319409627751232]	(0.13188654441988246, 0.15332914494905037)	0.007826977536111612	0.02186786713736988	0.2350998513146086	1
0.05	127162	1.1414080044713393	7248	[0.13154939118666176, 0.1531902609077762]	[0.13170667673454595, 0.15301903377984]	(0.1321216922322186, 0.15355486255973705)	0.015180197471448276	0.042575897677157526	0.025630664852346666	1
0.05	127162	1.1414080044713393	7375	[0.13164984738115404, 0.15309221264105077]	[0.13167663956853512, 0.15314614911191252]	(0.1320568832445841, 0.1535402895978143)	0.0037554673010247175	0.039063295831582856	0.04597405781060595	1
0.05	127162	1.1414080044713393	7502	[0.13174778297658574, 0.15299660344663946]	[0.1316717178070343, 0.15302325080061913]	(0.1318610119714435, 0.15319504328086142)	0.004810545620399842	0.014531871421246456	0.46456572758954157	1
0.05	127162	1.1414080044713393	7629	[0.1318433032998334, 0.15290333206919404]	[0.13192994158888788, 0.15293312201381593]	(0.13225887436988648, 0.15320050165059762)	0.005520589591373137	0.03337238526096997	0.17416383269075753	1
0.05	127162	1.1414080044713393	7756	[0.13193650760960252, 0.15281230305486182]	[0.1319893457200694, 0.15288109033294509]	(0.13223942842484293, 0.1532690403278706)	0.005807009390289775	0.03561030929996656	0.0009838529696294142	0
0.05	127162	1.1414080044713393	7884	[0.13202819735162064, 0.15272273482486431]	[0.1321166007566501, 0.15274375433066373]	(0.13243456911396034, 0.15298932557217315)	0.005282161176722422	0.032105261824060594	0.2592213344044625	1
0.05	127162	1.1414080044713393	8011	[0.1321170288457857, 0.1526359412656465]	[0.1322376571836999, 0.1524895390822254]	(0.13231549973915824, 0.15275835796829373)	0.013013873048984936	0.015545878567958749	0.2800938243116465	1
0.05	127162	1.1414080044713393	8138	[0.1322038105669997, 0.15255113387216923]	[0.13225924279730164, 0.15253390122978713]	(0.13264363332991835, 0.15273437577060756)	0.0035712251481045953	0.03034814946290343	0.007389096160108638	0
0.05	127162	1.1414080044713393	8265	[0.1322886215222363, 0.15246823656962483]	[0.13223008078699738, 0.15223918903486655]	(0.1323375101905956, 0.1524006731770139)	0.014210201417861557	0.005770777128143889	0.5459847450256348	1
0.05	127162	1.1414080044713393	8392	[0.13237153651395905, 0.15238717731021967]	[0.1324885903999978, 0.15228041610762375]	(0.13275605790206335, 0.15247764920048124)	0.011182009654993719	0.023624321905062695	0.29199294512294954	1
0.05	127162	1.1414080044713393	8519	[0.13245262642362443, 0.1523078878029025]	[0.13256991144740038, 0.15212319419888576]	(0.132726450261196, 0.1522679948236737)	0.015208997858262796	0.01580018569424524	0.2795215727952611	1
0.05	127162	1.1414080044713393	8647	[0.1325325763303553, 0.15222969896299543]	[0.13257742180926832, 0.1521719800460866]	(0.1328075604743182, 0.15237112037598755)	0.005207075050235432	0.020989723640867153	0.13878975188580456	1
